"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Answer.Q1initials","Answer.Q2code","Approve","Reject"
"3I7KR83SN9C49B4TVLYQM9U0WBAK9X","3N79SUTLM2K45D75GAEXW6Y0EII5B3","Contradiction Detection Task (7-8 minutes)","Compare sentences for whether they contradict each other","experiment, linguistics, language, word, words, read, science, psychology, cognitive, cognition, cognitive science","$0.75","Thu Dec 11 17:46:41 GMT 2014","301","BatchId:1763564;","1200","172800","Wed Dec 24 11:44:12 GMT 2014","","","308Q0PEVB8CFQ0CYLKIGYDA7MQC9IU","AD8A6XPPK6ION","Approved","Tue Dec 16 07:00:58 GMT 2014","Tue Dec 16 07:06:39 GMT 2014","Wed Dec 17 23:06:39 PST 2014","Tue Dec 16 00:49:08 PST 2014","","","341","100% (1/1)","100% (1/1)","0% (0/0)","KY","E2F56AD371BC089"
"3I7KR83SN9C49B4TVLYQM9U0WBAK9X","3N79SUTLM2K45D75GAEXW6Y0EII5B3","Contradiction Detection Task (7-8 minutes)","Compare sentences for whether they contradict each other","experiment, linguistics, language, word, words, read, science, psychology, cognitive, cognition, cognitive science","$0.75","Thu Dec 11 17:46:41 GMT 2014","301","BatchId:1763564;","1200","172800","Wed Dec 24 11:44:12 GMT 2014","","","308XBLVESI3B7SUE9RQL3B6OW5YRBR","A2MCRVU8I9VNHG","Approved","Sat Dec 13 21:12:31 GMT 2014","Sat Dec 13 21:23:52 GMT 2014","Mon Dec 15 13:23:52 PST 2014","Sat Dec 13 14:30:03 PST 2014","","","681","100% (1/1)","0% (0/0)","0% (0/0)","CJ","4F61AE08B7392DC"
"3I7KR83SN9C49B4TVLYQM9U0WBAK9X","3N79SUTLM2K45D75GAEXW6Y0EII5B3","Contradiction Detection Task (7-8 minutes)","Compare sentences for whether they contradict each other","experiment, linguistics, language, word, words, read, science, psychology, cognitive, cognition, cognitive science","$0.75","Thu Dec 11 17:46:41 GMT 2014","301","BatchId:1763564;","1200","172800","Wed Dec 24 11:44:12 GMT 2014","","","30BUDKLTXDUK9880MBF81I7D7Q5E5V","A1JYGNIFHS9TEA","Approved","Sun Dec 14 21:28:23 GMT 2014","Sun Dec 14 21:36:06 GMT 2014","Tue Dec 16 13:36:06 PST 2014","Mon Dec 15 03:52:34 PST 2014","","","463","100% (2/2)","0% (0/0)","0% (0/0)","ak","F27D3C405A86E19"
"3I7KR83SN9C49B4TVLYQM9U0WBAK9X","3N79SUTLM2K45D75GAEXW6Y0EII5B3","Contradiction Detection Task (7-8 minutes)","Compare sentences for whether they contradict each other","experiment, linguistics, language, word, words, read, science, psychology, cognitive, cognition, cognitive science","$0.75","Thu Dec 11 17:46:41 GMT 2014","301","BatchId:1763564;","1200","172800","Wed Dec 24 11:44:12 GMT 2014","","","30H4UDGLT2HME6IWNOC5CWH382EPMJ","A16HSMUJ7C7QA7","Approved","Tue Dec 16 04:57:25 GMT 2014","Tue Dec 16 05:08:01 GMT 2014","Wed Dec 17 21:08:01 PST 2014","Tue Dec 16 00:49:07 PST 2014","","","636","100% (4/4)","100% (1/1)","0% (0/0)","LC","7DC90FBA413862E"
"3I7KR83SN9C49B4TVLYQM9U0WBAK9X","3N79SUTLM2K45D75GAEXW6Y0EII5B3","Contradiction Detection Task (7-8 minutes)","Compare sentences for whether they contradict each other","experiment, linguistics, language, word, words, read, science, psychology, cognitive, cognition, cognitive science","$0.75","Thu Dec 11 17:46:41 GMT 2014","301","BatchId:1763564;","1200","172800","Wed Dec 24 11:44:12 GMT 2014","","","30LB5CDZNC9JPWDVLSN95XC4FZR0ZD","AP1GPHWZYC750","Approved","Tue Dec 16 05:19:55 GMT 2014","Tue Dec 16 05:28:59 GMT 2014","Wed Dec 17 21:28:59 PST 2014","Tue Dec 16 00:49:07 PST 2014","","","544","100% (1/1)","100% (1/1)","0% (0/0)","JP","8459F6A21ED7B3C"
"3I7KR83SN9C49B4TVLYQM9U0WBAK9X","3N79SUTLM2K45D75GAEXW6Y0EII5B3","Contradiction Detection Task (7-8 minutes)","Compare sentences for whether they contradict each other","experiment, linguistics, language, word, words, read, science, psychology, cognitive, cognition, cognitive science","$0.75","Thu Dec 11 17:46:41 GMT 2014","301","BatchId:1763564;","1200","172800","Wed Dec 24 11:44:12 GMT 2014","","","30MVJZJNHMCBLBW4323GAEP7Y9TJ9F","A29U4ZQRLMIB61","Approved","Thu Dec 11 17:54:41 GMT 2014","Thu Dec 11 18:05:28 GMT 2014","Sat Dec 13 10:05:28 PST 2014","Thu Dec 11 10:20:29 PST 2014","","","647","100% (1/1)","0% (0/0)","0% (0/0)","MS","61FA3C2D9B8E074"
"3I7KR83SN9C49B4TVLYQM9U0WBAK9X","3N79SUTLM2K45D75GAEXW6Y0EII5B3","Contradiction Detection Task (7-8 minutes)","Compare sentences for whether they contradict each other","experiment, linguistics, language, word, words, read, science, psychology, cognitive, cognition, cognitive science","$0.75","Thu Dec 11 17:46:41 GMT 2014","301","BatchId:1763564;","1200","172800","Wed Dec 24 11:44:12 GMT 2014","","","30OG32W0SUAOZXE6QBBUVZ7ZZR2NEO","A1XWMSFU4RHNK5","Approved","Tue Dec 16 20:40:43 GMT 2014","Tue Dec 16 20:57:20 GMT 2014","Thu Dec 18 12:57:20 PST 2014","Wed Dec 17 03:48:37 PST 2014","","","997","100% (1/1)","100% (1/1)","0% (0/0)","md","F523647CA8B0DE1"
"3I7KR83SN9C49B4TVLYQM9U0WBAK9X","3N79SUTLM2K45D75GAEXW6Y0EII5B3","Contradiction Detection Task (7-8 minutes)","Compare sentences for whether they contradict each other","experiment, linguistics, language, word, words, read, science, psychology, cognitive, cognition, cognitive science","$0.75","Thu Dec 11 17:46:41 GMT 2014","301","BatchId:1763564;","1200","172800","Wed Dec 24 11:44:12 GMT 2014","","","3137ONMDKG4IP5XK37YZ5FY2XFXEGN","A2JVT6YVJOB3G6","Approved","Thu Dec 11 22:07:58 GMT 2014","Thu Dec 11 22:18:34 GMT 2014","Sat Dec 13 14:18:34 PST 2014","Thu Dec 11 18:18:32 PST 2014","","","636","100% (1/1)","0% (0/0)","0% (0/0)","BN","A328EF60C7DB415"
"3I7KR83SN9C49B4TVLYQM9U0WBAK9X","3N79SUTLM2K45D75GAEXW6Y0EII5B3","Contradiction Detection Task (7-8 minutes)","Compare sentences for whether they contradict each other","experiment, linguistics, language, word, words, read, science, psychology, cognitive, cognition, cognitive science","$0.75","Thu Dec 11 17:46:41 GMT 2014","301","BatchId:1763564;","1200","172800","Wed Dec 24 11:44:12 GMT 2014","","","3180JW2OT4BSKOUS0CQZYYK5D9YJ55","A2ICETGAS02JWD","Approved","Tue Dec 16 05:50:09 GMT 2014","Tue Dec 16 06:02:57 GMT 2014","Wed Dec 17 22:02:57 PST 2014","Tue Dec 16 00:48:55 PST 2014","","","768","100% (1/1)","100% (1/1)","0% (0/0)","BB","FAD5B2E6C481309"
"3I7KR83SN9C49B4TVLYQM9U0WBAK9X","3N79SUTLM2K45D75GAEXW6Y0EII5B3","Contradiction Detection Task (7-8 minutes)","Compare sentences for whether they contradict each other","experiment, linguistics, language, word, words, read, science, psychology, cognitive, cognition, cognitive science","$0.75","Thu Dec 11 17:46:41 GMT 2014","301","BatchId:1763564;","1200","172800","Wed Dec 24 11:44:12 GMT 2014","","","31JLPPHS2UT37KYL26UBRX37YB43OD","A399GYOD60WD7M","Approved","Tue Dec 16 19:10:40 GMT 2014","Tue Dec 16 19:21:50 GMT 2014","Thu Dec 18 11:21:50 PST 2014","Wed Dec 17 03:48:36 PST 2014","","","670","100% (1/1)","100% (1/1)","0% (0/0)","LW","94B265D0EA7CF83"
